customer_id,first_name,last_name,email,age,state,balance,signup_date
1,Danielle,Johnson,john21@example.net,32,NJ,37077.52,2025-05-03
2,Amy,Garza,johnsonjeffery@example.net,49,MA,6976.9,2024-08-22
3,Anna,Baldwin,lrobinson@example.com,31,IL,4346.94,2025-09-05
4,Adam,Shaffer,jpeterson@example.org,72,NJ,1489.86,2026-06-02
5,Matthew,Davis,howardmaurice@example.com,45,MA,25267.76,2025-09-01
6,Jessica,Herrera,smiller@example.net,21,IL,9941.88,2024-09-22
7,Michelle,Ray,williamsjeremy@example.com,71,MA,22460.45,2026-07-23
8,Melissa,Delacruz,oramirez@example.com,53,NJ,37940.37,2022-06-12
9,Michael,Santiago,lynchgeorge@example.net,38,TX,17012.53,2022-11-09
10,Steven,Nelson,,37,MA,47860.65,2022-10-11
11,Antonio,Stewart,carl95@example.org,61,NY,4637.29,2024-11-28
12,Randall,Rocha,ithomas@example.org,30,CA,42374.72,2025-05-11
13,Amber,Burgess,zhurst@example.com,51,NJ,36486.59,2022-09-23
14,Whitney,Hicks,camposmichelle@example.org,33,TX,3940.01,2024-10-08
15,Laura,Henderson,cruzcaitlin@example.com,55,WA,44272.59,2024-04-11
16,Tasha,Valencia,frazierdanny@example.net,64,WA,9614.43,2025-05-21
17,Kayla,Peterson,ryan70@example.net,26,NJ,33063.17,2026-01-05
18,Jose,Mason,williamrodriguez@example.net,55,NY,42765.89,2023-02-15
19,Danielle,Lynch,nathanielmartin@example.net,30,TX,13898.68,2026-03-24
20,Carol,Burns,hickmannatasha@example.com,64,PA,18509.05,2022-10-30
21,John,Bradley,millertodd@example.org,44,CT,35091.02,2026-07-10
22,Amanda,Martinez,karroyo@example.com,250,WA,31748.91,2024-04-09
23,Catherine,Brandt,jenniferross@example.net,49,PA,23113.01,2024-11-18
24,Samuel,Holmes,,52,IL,10980.76,2024-07-28
25,Jerry,Robinson,zimmermanbrian@example.org,59,NJ,11452.4,2026-02-28
26,Michele,Jones,joshuawashington@example.net,22,CA,20058.24,2022-04-17
27,Selena,Duncan,esanchez@example.com,26,MA,45656.81,2022-08-01
28,Collin,Jordan,ujenkins@example.org,58,MA,32771.93,2024-12-31
29,Tracey,Garcia,zchandler@example.org,68,FL,7143.58,2022-11-16
30,James,West,dwhite@example.org,35,MA,37249.45,2026-01-02
31,Charles,Morton,williamsyvette@example.org,51,WA,21421.69,2026-06-24
32,Sara,Allison,richardolson@example.com,69,CA,10966.04,2026-02-22
33,Franklin,Smith,ybaker@example.com,35,IL,24675.79,2023-01-22
34,Heather,Cross,smoore@example.org,24,NY,7642.07,2026-06-23
35,Beth,Daniels,brian97@example.net,38,TX,29820.45,2026-03-25
36,Amanda,Brown,yorkcasey@example.org,67,TX,29794.42,2025-01-03
37,Joe,Wilson,bethwilliams@example.org,77,IL,12570.71,2023-09-23
38,Brandy,Mills,james53@example.com,19,NY,34085.52,2023-08-12
